level_0,index,year,sic,desktop_cpu,server_cpu,mobile_cpu,server_gpu,mobile_gpu,desktop_gpu,desktop_cpu_fraction,server_cpu_fraction,mobile_cpu_fraction,server_gpu_fraction,mobile_gpu_fraction,desktop_gpu_fraction
129,129,2013,28,4.0919791666666665,8.268854166666666,8.3375,1.6979166666666665,0.5979166666666668,0.6791666666666666,0.1728518375105604,0.34928981272880877,0.35218952407772464,0.0717227541537595,0.025256969867642923,0.0286891016615038
130,130,2013,29,0.61125,0.20375,1.575,0.4075,0.08750000000000001,0.0,0.21187175043327555,0.07062391681109186,0.5459272097053726,0.1412478336221837,0.03032928942807626,0.0
131,131,2013,30,0.7980208333333333,1.0017708333333333,4.0,1.9186458333333332,0.26833333333333337,0.08489583333333332,0.09886692132975428,0.12410953954160643,0.4955606029320669,0.2377013214949411,0.03324385711335949,0.01051775758827173
132,132,2013,32,0.61125,0.20375,1.7999999999999998,0.4075,0.07,0.0,0.1976556184316896,0.06588520614389654,0.5820533548908651,0.13177041228779307,0.02263540824575587,0.0
133,133,2013,33,0.20375,0.0,2.25,0.4075,0.24500000000000002,0.0,0.06559356136820925,0.0,0.7243460764587525,0.1311871227364185,0.07887323943661972,0.0
134,134,2013,34,3.26,1.0187499999999998,10.725,1.63,0.5075000000000001,0.0,0.1901844964632101,0.05943265514475315,0.6256836578429228,0.09509224823160504,0.029606942317508936,0.0
135,135,2013,35,43.25952083333333,17.33233333333333,116.6725,4.3093125,2.0883333333333334,2.6453541666666665,0.23219438130517525,0.09303085973636976,0.6262366857275382,0.02313012558884272,0.011209076220711899,0.014198871421362077
136,136,2013,36,28.04958333333333,12.632499999999999,85.325,3.243020833333333,1.54875,1.0866666666666664,0.21268129477822065,0.09578382767251584,0.6469626040892472,0.024589665437433503,0.011743138975484577,0.008239469047098135
137,137,2013,37,6.689791666666666,1.7997916666666665,43.175,0.8829166666666666,0.6591666666666667,0.06791666666666665,0.1255719190670974,0.03378330817541199,0.8104239826684083,0.016572943633220975,0.012373004637921464,0.0012748418179400747
138,138,2013,38,15.600458333333332,5.976666666666667,59.1475,3.426395833333333,0.9152500000000001,1.1851458333333331,0.1808719083841135,0.06929354783544618,0.6857568523029091,0.03972567600338931,0.010611419909044973,0.013740595565096995
139,139,2013,99,20.283312499999997,14.034979166666664,62.169999999999995,6.1736249999999995,2.09125,3.6776874999999993,0.18706218498309501,0.1294371355324178,0.5733607881059377,0.0569360542942017,0.019286484608758925,0.033917352475588795
140,140,2014,13,0.6074999999999999,0.30374999999999996,1.575,0.10124999999999999,0.12,0.10124999999999999,0.21628838451268356,0.10814419225634178,0.5607476635514019,0.036048064085447265,0.042723631508678236,0.036048064085447265
141,141,2014,20,0.0,0.40499999999999997,0.75,0.20249999999999999,0.12,0.0,0.0,0.2741116751269036,0.5076142131979696,0.1370558375634518,0.08121827411167513,0.0
142,142,2014,22,0.23625,0.13499999999999998,0.7749999999999999,0.033749999999999995,0.06666666666666667,0.033749999999999995,0.1845102505694761,0.10543442889684346,0.6052717214448422,0.026358607224210864,0.05206638464041653,0.026358607224210864
143,143,2014,28,3.1893749999999996,4.100625,6.75,1.7718749999999999,0.52,0.658125,0.18772071806945262,0.2413552089464391,0.39729252501471457,0.10428928781636257,0.030606238964096533,0.03873602118893467
144,144,2014,29,0.6074999999999999,0.30374999999999996,1.575,0.10124999999999999,0.12,0.10124999999999999,0.21628838451268356,0.10814419225634178,0.5607476635514019,0.036048064085447265,0.042723631508678236,0.036048064085447265
145,145,2014,30,1.2149999999999999,1.72125,6.0,1.2487499999999998,0.32666666666666666,0.033749999999999995,0.1152159310917065,0.16322256904658422,0.5689675609466988,0.11841637362203167,0.0309771227626536,0.00320044253032518
146,146,2014,32,0.37124999999999997,0.4725,2.225,0.0,0.04,0.0,0.11942098914354644,0.15199034981905912,0.7157217531162043,0.0,0.01286690792119019,0.0
147,147,2014,33,0.0,0.0,0.75,0.6074999999999999,0.2,0.0,0.0,0.0,0.48154093097913325,0.3900481540930979,0.12841091492776888,0.0
148,148,2014,34,1.0125,1.85625,11.549999999999999,1.85625,0.42,0.033749999999999995,0.0605245460659045,0.1109616677874916,0.6904281551221699,0.1109616677874916,0.025106478368078906,0.0020174848688634833
149,149,2014,35,43.257374999999996,15.994124999999999,112.08749999999999,4.0905,2.243333333333333,2.2005,0.24048798228382937,0.08891882250472555,0.6231468440754606,0.02274100292798636,0.012471739372150773,0.012233608835847449
